C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\checkpoint_connector.py:45: LightningDeprecationWarning: Setting `Trainer(resume_from_checkpoint=)` is deprecated in v1.5 and will be removed in v1.7. Please pass `Trainer.fit(ckpt_path=)` directly instead.
  rank_zero_deprecation(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1584: UserWarning: GPU available but not used. Set the gpus flag in your trainer `Trainer(gpus=1)` or script `--gpus=1`.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1905: LightningDeprecationWarning: `trainer.resume_from_checkpoint` is deprecated in v1.5 and will be removed in v1.7. Specify the fit checkpoint path with `trainer.fit(ckpt_path=)` instead.
  rank_zero_deprecation(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\checkpoint_connector.py:250: UserWarning: You're resuming from a checkpoint that ended mid-epoch. Training will start from the beginning of the next epoch. This can cause unreliable results if further training is done, consider using an end of epoch checkpoint.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\data_loading.py:132: UserWarning: The dataloader, train_dataloader, does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` (try 16 which is the number of cpus on this machine) in the `DataLoader` init to improve performance.
  rank_zero_warn(

Training: 0it [00:00, ?it/s]
Training: 0it [00:00, ?it/s]
Epoch 5: : 0it [00:00, ?it/s]
Epoch 5: : 1it [00:00,  9.62it/s]
Epoch 5: : 46it [00:02, 17.84it/s, loss=1.83, v_num=41]
Epoch 5: : 46it [00:02, 17.83it/s, loss=1.77, v_num=41]
Epoch 5: : 47it [00:02, 17.89it/s, loss=1.69, v_num=41]
Epoch 5: : 48it [00:02, 17.97it/s, loss=1.71, v_num=41]
Epoch 5: : 49it [00:02, 18.04it/s, loss=1.71, v_num=41]
Epoch 5: : 49it [00:02, 18.03it/s, loss=1.73, v_num=41]
Epoch 5: : 50it [00:02, 18.10it/s, loss=1.69, v_num=41]
Epoch 5: : 51it [00:02, 18.14it/s, loss=1.5, v_num=41] 
Epoch 5: : 52it [00:02, 18.19it/s, loss=1.5, v_num=41]
Epoch 5: : 52it [00:02, 18.19it/s, loss=1.4, v_num=41]
Epoch 5: : 53it [00:02, 18.26it/s, loss=1.4, v_num=41]
Epoch 5: : 54it [00:02, 18.29it/s, loss=1.31, v_num=41]
Epoch 5: : 55it [00:02, 18.36it/s, loss=1.31, v_num=41]
Epoch 5: : 55it [00:02, 18.35it/s, loss=1.26, v_num=41]
Epoch 5: : 56it [00:03, 18.38it/s, loss=1.2, v_num=41] 
Epoch 5: : 57it [00:03, 18.43it/s, loss=1.09, v_num=41]
Epoch 5: : 58it [00:03, 18.48it/s, loss=1.09, v_num=41]
Epoch 5: : 58it [00:03, 18.47it/s, loss=0.982, v_num=41]
Epoch 5: : 59it [00:03, 18.50it/s, loss=0.954, v_num=41]
Epoch 5: : 60it [00:03, 18.57it/s, loss=0.894, v_num=41]
Epoch 5: : 61it [00:03, 18.62it/s, loss=0.894, v_num=41]
Epoch 5: : 61it [00:03, 18.61it/s, loss=0.841, v_num=41]
Epoch 5: : 62it [00:03, 18.65it/s, loss=0.829, v_num=41]
Epoch 5: : 63it [00:03, 18.69it/s, loss=0.802, v_num=41]
Epoch 5: : 64it [00:03, 18.73it/s, loss=0.802, v_num=41]
Epoch 5: : 64it [00:03, 18.72it/s, loss=0.738, v_num=41]
Epoch 5: : 65it [00:03, 18.78it/s, loss=0.731, v_num=41]
Epoch 5: : 66it [00:03, 18.81it/s, loss=0.697, v_num=41]
Epoch 5: : 67it [00:03, 18.85it/s, loss=0.697, v_num=41]
Epoch 5: : 67it [00:03, 18.85it/s, loss=0.719, v_num=41]
Epoch 5: : 68it [00:03, 18.89it/s, loss=0.705, v_num=41]
Epoch 5: : 69it [00:03, 18.91it/s, loss=0.614, v_num=41]
Epoch 5: : 70it [00:03, 18.94it/s, loss=0.614, v_num=41]
Epoch 5: : 70it [00:03, 18.93it/s, loss=0.545, v_num=41]
Epoch 5: : 71it [00:03, 18.97it/s, loss=0.545, v_num=41]
Epoch 5: : 72it [00:03, 19.02it/s, loss=0.549, v_num=41]
Epoch 5: : 73it [00:03, 19.05it/s, loss=0.549, v_num=41]
Epoch 5: : 73it [00:03, 19.05it/s, loss=0.48, v_num=41] 
Epoch 5: : 74it [00:03, 19.07it/s, loss=0.469, v_num=41]
Epoch 5: : 75it [00:03, 19.10it/s, loss=0.457, v_num=41]
Epoch 5: : 76it [00:03, 19.10it/s, loss=0.457, v_num=41]
Epoch 5: : 76it [00:03, 19.10it/s, loss=0.455, v_num=41]
Epoch 5: : 77it [00:04, 19.13it/s, loss=0.442, v_num=41]
Epoch 5: : 78it [00:04, 19.16it/s, loss=0.427, v_num=41]
Epoch 5: : 79it [00:04, 19.19it/s, loss=0.427, v_num=41]
Epoch 5: : 79it [00:04, 19.18it/s, loss=0.413, v_num=41]
Epoch 5: : 80it [00:04, 19.22it/s, loss=0.414, v_num=41]
Epoch 5: : 81it [00:04, 19.26it/s, loss=0.364, v_num=41]
Epoch 5: : 82it [00:04, 19.27it/s, loss=0.364, v_num=41]
Epoch 5: : 82it [00:04, 19.27it/s, loss=0.343, v_num=41]
Epoch 5: : 83it [00:04, 19.27it/s, loss=0.327, v_num=41]
Epoch 5: : 84it [00:04, 19.28it/s, loss=0.299, v_num=41]
Epoch 5: : 85it [00:04, 19.31it/s, loss=0.299, v_num=41]
Epoch 5: : 85it [00:04, 19.31it/s, loss=0.321, v_num=41]
Epoch 5: : 86it [00:04, 19.32it/s, loss=0.329, v_num=41]
Epoch 5: : 87it [00:04, 19.35it/s, loss=0.296, v_num=41]
Epoch 5: : 88it [00:04, 19.37it/s, loss=0.296, v_num=41]
Epoch 5: : 88it [00:04, 19.37it/s, loss=0.271, v_num=41]
Epoch 5: : 89it [00:04, 19.37it/s, loss=0.243, v_num=41]
Epoch 5: : 90it [00:04, 19.40it/s, loss=0.252, v_num=41]
Epoch 5: : 91it [00:04, 19.42it/s, loss=0.252, v_num=41]
Epoch 5: : 91it [00:04, 19.41it/s, loss=0.221, v_num=41]
Epoch 5: : 92it [00:04, 19.43it/s, loss=0.177, v_num=41]
Epoch 5: : 93it [00:04, 19.42it/s, loss=0.151, v_num=41]
Epoch 5: : 94it [00:04, 19.45it/s, loss=0.151, v_num=41]
Epoch 5: : 94it [00:04, 19.45it/s, loss=0.116, v_num=41]
Epoch 5: : 95it [00:04, 19.46it/s, loss=0.0756, v_num=41]
Epoch 5: : 96it [00:04, 19.48it/s, loss=0.0252, v_num=41]
Epoch 5: : 97it [00:04, 19.51it/s, loss=0.0252, v_num=41]
Epoch 5: : 97it [00:04, 19.50it/s, loss=0.00704, v_num=41]
Epoch 5: : 98it [00:05, 19.53it/s, loss=0.0103, v_num=41] 
Epoch 5: : 99it [00:05, 19.56it/s, loss=0.00605, v_num=41]
Epoch 5: : 100it [00:05, 19.58it/s, loss=0.00605, v_num=41]
Epoch 5: : 100it [00:05, 19.58it/s, loss=-0.0333, v_num=41]C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\logger_connector\result.py:227: UserWarning: You called `self.log('total wins:', ...)` in your `training_step` but the value needs to be floating point. Converting it to torch.float32.
  warning_cache.warn(

Epoch 5: : 101it [00:05, 19.47it/s, loss=0.0245, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 102it [00:05, 19.48it/s, loss=0.0323, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 103it [00:05, 19.49it/s, loss=0.0323, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 103it [00:05, 19.49it/s, loss=0.0837, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 104it [00:05, 19.50it/s, loss=0.107, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0] 
Epoch 5: : 105it [00:05, 19.52it/s, loss=0.0655, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 106it [00:05, 19.55it/s, loss=0.0655, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 106it [00:05, 19.55it/s, loss=0.0472, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 107it [00:05, 19.55it/s, loss=0.028, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0] 
Epoch 5: : 108it [00:05, 19.58it/s, loss=-0.000857, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
Epoch 5: : 109it [00:05, 19.57it/s, loss=-0.000857, v_num=41, train_loss:=0.715, loss_ratio:=0.306, avg_winning_turns:=3.900, total wins:=997.0]
