C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1584: UserWarning: GPU available but not used. Set the gpus flag in your trainer `Trainer(gpus=1)` or script `--gpus=1`.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\data_loading.py:132: UserWarning: The dataloader, train_dataloader, does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` (try 16 which is the number of cpus on this machine) in the `DataLoader` init to improve performance.
  rank_zero_warn(

Training: 0it [00:00, ?it/s]
Training: 0it [00:00, ?it/s]
Epoch 0: : 0it [00:00, ?it/s]
Epoch 0: : 76it [00:00, 144.76it/s, loss=nan, v_num=23]
Epoch 0: : 77it [00:00, 145.01it/s, loss=nan, v_num=23]
Epoch 0: : 78it [00:00, 144.98it/s, loss=nan, v_num=23]
Epoch 0: : 79it [00:00, 145.22it/s, loss=nan, v_num=23]
Epoch 0: : 80it [00:00, 145.46it/s, loss=nan, v_num=23]
Epoch 0: : 81it [00:00, 145.68it/s, loss=nan, v_num=23]
Epoch 0: : 82it [00:00, 146.17it/s, loss=nan, v_num=23]
Epoch 0: : 83it [00:00, 146.39it/s, loss=nan, v_num=23]
Epoch 0: : 84it [00:00, 146.60it/s, loss=nan, v_num=23]
Epoch 0: : 85it [00:00, 147.06it/s, loss=nan, v_num=23]
Epoch 0: : 86it [00:00, 147.26it/s, loss=nan, v_num=23]
Epoch 0: : 87it [00:00, 147.71it/s, loss=nan, v_num=23]
Epoch 0: : 88it [00:00, 148.15it/s, loss=nan, v_num=23]
Epoch 0: : 89it [00:00, 148.33it/s, loss=nan, v_num=23]
Epoch 0: : 90it [00:00, 148.52it/s, loss=nan, v_num=23]
Epoch 0: : 91it [00:00, 148.69it/s, loss=nan, v_num=23]
Epoch 0: : 92it [00:00, 148.87it/s, loss=nan, v_num=23]
Epoch 0: : 93it [00:00, 149.04it/s, loss=nan, v_num=23]
Epoch 0: : 94it [00:00, 149.44it/s, loss=nan, v_num=23]
Epoch 0: : 94it [00:00, 149.21it/s, loss=nan, v_num=23]
Epoch 0: : 95it [00:00, 149.61it/s, loss=nan, v_num=23]
Epoch 0: : 96it [00:00, 150.00it/s, loss=nan, v_num=23]
Epoch 0: : 97it [00:00, 150.16it/s, loss=nan, v_num=23]
Epoch 0: : 98it [00:00, 150.54it/s, loss=nan, v_num=23]
Epoch 0: : 99it [00:00, 150.69it/s, loss=nan, v_num=23]
Epoch 0: : 100it [00:00, 150.83it/s, loss=nan, v_num=23]
Epoch 0: : 101it [00:00, 148.97it/s, loss=nan, v_num=23]
Epoch 0: : 102it [00:00, 149.12it/s, loss=nan, v_num=23]
Epoch 0: : 103it [00:00, 149.28it/s, loss=nan, v_num=23]
Epoch 0: : 104it [00:00, 149.43it/s, loss=nan, v_num=23]
Epoch 0: : 105it [00:00, 149.57it/s, loss=nan, v_num=23]
Epoch 0: : 106it [00:00, 149.72it/s, loss=nan, v_num=23]
Epoch 0: : 107it [00:00, 149.86it/s, loss=nan, v_num=23]
Epoch 0: : 108it [00:00, 149.79it/s, loss=nan, v_num=23]
Epoch 0: : 109it [00:00, 149.93it/s, loss=nan, v_num=23]
Epoch 0: : 110it [00:00, 149.86it/s, loss=nan, v_num=23]
Epoch 0: : 111it [00:00, 149.80it/s, loss=nan, v_num=23]
Epoch 0: : 112it [00:00, 150.13it/s, loss=nan, v_num=23]
Epoch 0: : 112it [00:00, 149.93it/s, loss=nan, v_num=23]
Epoch 0: : 113it [00:00, 149.87it/s, loss=nan, v_num=23]
Epoch 0: : 114it [00:00, 150.00it/s, loss=nan, v_num=23]
Epoch 0: : 115it [00:00, 150.33it/s, loss=nan, v_num=23]
Epoch 0: : 116it [00:00, 150.45it/s, loss=nan, v_num=23]
Epoch 0: : 117it [00:00, 150.58it/s, loss=nan, v_num=23]
