C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\checkpoint_connector.py:45: LightningDeprecationWarning: Setting `Trainer(resume_from_checkpoint=)` is deprecated in v1.5 and will be removed in v1.7. Please pass `Trainer.fit(ckpt_path=)` directly instead.
  rank_zero_deprecation(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1584: UserWarning: GPU available but not used. Set the gpus flag in your trainer `Trainer(gpus=1)` or script `--gpus=1`.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1905: LightningDeprecationWarning: `trainer.resume_from_checkpoint` is deprecated in v1.5 and will be removed in v1.7. Specify the fit checkpoint path with `trainer.fit(ckpt_path=)` instead.
  rank_zero_deprecation(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\checkpoint_connector.py:250: UserWarning: You're resuming from a checkpoint that ended mid-epoch. Training will start from the beginning of the next epoch. This can cause unreliable results if further training is done, consider using an end of epoch checkpoint.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\data_loading.py:132: UserWarning: The dataloader, train_dataloader, does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` (try 16 which is the number of cpus on this machine) in the `DataLoader` init to improve performance.
  rank_zero_warn(

Training: 0it [00:00, ?it/s]
Training: 0it [00:00, ?it/s]
Epoch 3: : 0it [00:00, ?it/s]
Epoch 3: : 67it [00:00, 137.58it/s, loss=275, v_num=39]
Epoch 3: : 68it [00:00, 137.93it/s, loss=275, v_num=39]
Epoch 3: : 69it [00:00, 138.28it/s, loss=279, v_num=39]
Epoch 3: : 70it [00:00, 138.61it/s, loss=284, v_num=39]
Epoch 3: : 71it [00:00, 138.94it/s, loss=276, v_num=39]
Epoch 3: : 72it [00:00, 139.27it/s, loss=273, v_num=39]
Epoch 3: : 73it [00:00, 139.85it/s, loss=232, v_num=39]
Epoch 3: : 74it [00:00, 139.89it/s, loss=247, v_num=39]
Epoch 3: : 75it [00:00, 140.19it/s, loss=224, v_num=39]
Epoch 3: : 76it [00:00, 140.48it/s, loss=224, v_num=39]
Epoch 3: : 76it [00:00, 140.48it/s, loss=220, v_num=39]
Epoch 3: : 77it [00:00, 140.51it/s, loss=228, v_num=39]
Epoch 3: : 78it [00:00, 140.29it/s, loss=241, v_num=39]
Epoch 3: : 79it [00:00, 140.32it/s, loss=272, v_num=39]
Epoch 3: : 80it [00:00, 140.85it/s, loss=245, v_num=39]
Epoch 3: : 81it [00:00, 140.87it/s, loss=218, v_num=39]
Epoch 3: : 82it [00:00, 141.14it/s, loss=222, v_num=39]
Epoch 3: : 83it [00:00, 141.16it/s, loss=228, v_num=39]
Epoch 3: : 84it [00:00, 141.18it/s, loss=234, v_num=39]
Epoch 3: : 85it [00:00, 141.20it/s, loss=234, v_num=39]
Epoch 3: : 86it [00:00, 141.22it/s, loss=231, v_num=39]
Epoch 3: : 87it [00:00, 141.01it/s, loss=229, v_num=39]
Epoch 3: : 88it [00:00, 141.25it/s, loss=229, v_num=39]
Epoch 3: : 89it [00:00, 141.27it/s, loss=225, v_num=39]
Epoch 3: : 90it [00:00, 141.29it/s, loss=217, v_num=39]
Epoch 3: : 91it [00:00, 141.52it/s, loss=204, v_num=39]
Epoch 3: : 92it [00:00, 141.76it/s, loss=221, v_num=39]
Epoch 3: : 93it [00:00, 141.55it/s, loss=221, v_num=39]
Epoch 3: : 93it [00:00, 141.34it/s, loss=198, v_num=39]
Epoch 3: : 94it [00:00, 141.35it/s, loss=197, v_num=39]
Epoch 3: : 95it [00:00, 141.37it/s, loss=208, v_num=39]
Epoch 3: : 96it [00:00, 141.38it/s, loss=164, v_num=39]
Epoch 3: : 97it [00:00, 141.40it/s, loss=148, v_num=39]
Epoch 3: : 98it [00:00, 141.62it/s, loss=158, v_num=39]
Epoch 3: : 99it [00:00, 141.83it/s, loss=177, v_num=39]
Epoch 3: : 100it [00:00, 142.05it/s, loss=215, v_num=39]
Epoch 3: : 101it [00:00, 140.28it/s, loss=215, v_num=39]
Epoch 3: : 102it [00:00, 140.30it/s, loss=212, v_num=39]
Epoch 3: : 103it [00:00, 140.33it/s, loss=200, v_num=39]
Epoch 3: : 104it [00:00, 140.54it/s, loss=184, v_num=39]
Epoch 3: : 105it [00:00, 140.37it/s, loss=204, v_num=39]
Epoch 3: : 106it [00:00, 140.58it/s, loss=195, v_num=39]
Epoch 3: : 107it [00:00, 140.61it/s, loss=195, v_num=39]
Epoch 3: : 108it [00:00, 140.81it/s, loss=201, v_num=39]
Epoch 3: : 109it [00:00, 141.01it/s, loss=156, v_num=39]
Epoch 3: : 110it [00:00, 141.03it/s, loss=156, v_num=39]
Epoch 3: : 110it [00:00, 141.03it/s, loss=140, v_num=39]
Epoch 3: : 111it [00:00, 140.86it/s, loss=164, v_num=39]
Epoch 3: : 112it [00:00, 140.88it/s, loss=148, v_num=39]
Epoch 3: : 113it [00:00, 141.07it/s, loss=160, v_num=39]
Epoch 3: : 114it [00:00, 141.26it/s, loss=146, v_num=39]
Epoch 3: : 115it [00:00, 140.76it/s, loss=107, v_num=39]
Epoch 3: : 116it [00:00, 140.78it/s, loss=133, v_num=39]
Epoch 3: : 117it [00:00, 140.79it/s, loss=153, v_num=39]
Epoch 3: : 118it [00:00, 140.81it/s, loss=142, v_num=39]
Epoch 3: : 119it [00:00, 140.83it/s, loss=117, v_num=39]
Epoch 3: : 120it [00:00, 141.01it/s, loss=127, v_num=39]
Epoch 3: : 121it [00:00, 141.19it/s, loss=145, v_num=39]
Epoch 3: : 122it [00:00, 141.20it/s, loss=124, v_num=39]
Epoch 3: : 123it [00:00, 141.22it/s, loss=129, v_num=39]
Epoch 3: : 124it [00:00, 141.23it/s, loss=141, v_num=39]
Epoch 3: : 125it [00:00, 141.40it/s, loss=132, v_num=39]
Epoch 3: : 126it [00:00, 141.41it/s, loss=126, v_num=39]
Epoch 3: : 127it [00:00, 141.43it/s, loss=126, v_num=39]
Epoch 3: : 127it [00:00, 141.27it/s, loss=88.2, v_num=39]
Epoch 3: : 128it [00:00, 141.13it/s, loss=82.8, v_num=39]
Epoch 3: : 129it [00:00, 141.14it/s, loss=131, v_num=39] 
Epoch 3: : 130it [00:00, 141.30it/s, loss=131, v_num=39]
Epoch 3: : 131it [00:00, 141.47it/s, loss=114, v_num=39]
Epoch 3: : 132it [00:00, 141.63it/s, loss=114, v_num=39]
Epoch 3: : 133it [00:00, 141.49it/s, loss=78.5, v_num=39]
Epoch 3: : 134it [00:00, 141.35it/s, loss=77.9, v_num=39]
Epoch 3: : 135it [00:00, 141.21it/s, loss=129, v_num=39] 
Epoch 3: : 136it [00:00, 140.93it/s, loss=143, v_num=39]
